,0
423,Aldh1l1
424,Aldh1l2
425,Aldh2
426,Aldh3a1
427,Aldh3a2
428,Aldh3b1
429,Aldh3b2
430,Aldh4a1
431,Aldh5a1
432,Aldh6a1
433,Aldh7a1
434,Aldh8a1
435,Aldh9a1
436,Aldoa
437,Aldob
438,Aldoc
439,Alg1
440,Alg10b
441,Alg11
442,Alg12
443,Alg13
444,Alg14
445,Alg2
446,Alg3
447,Alg5
448,Alg6
449,Alg8
450,Alg9
451,Alk
452,Alkbh1
453,Alkbh2
454,Alkbh3
455,Alkbh4
456,Alkbh5
457,Alkbh6
458,Alkbh7
459,Alkbh8
460,Alms1
461,Alox12
462,Alox12b
463,Alox15
464,Alox5
465,Alox5ap
466,Alox8
467,Aloxe3
468,Alpi
469,Alpk1
470,Alpk2
471,Alpk3
472,Alpl
473,Alppl2
474,Als2
475,Als2cl
476,Als2cr12
477,Alx4
478,Alyref
479,Amacr
480,Ambp
481,Ambra1
482,Amd1
483,Amdhd1
484,Amdhd2
485,Amer1
486,Amfr
487,Amh
488,Amhr2
489,Amigo1
490,Amigo2
491,Amigo3
492,Ammecr1
493,Ammecr1l
494,Amn
495,Amn1
496,Amot
497,Amotl1
498,Amotl2
499,Ampd2
500,Ampd3
501,Amt
502,Amz1
503,Amz2
504,Anapc1
505,Anapc10
506,Anapc11
507,Anapc13
508,Anapc16
509,Anapc2
510,Anapc4
511,Anapc5
512,Anapc7
513,Ang
514,Angel1
515,Angel2
516,Angpt1
517,Angpt2
518,Angptl1
519,Angptl2
520,Angptl3
521,Angptl4
522,Angptl6
523,Angptl7
524,Ank
525,Ank1
526,Ank2
527,Ank3
528,Ankar
529,Ankdd1b
530,Ankef1
531,Ankfn1
532,Ankfy1
533,Ankhd1
534,Ankib1
535,Ankk1
536,Ankle1
537,Ankle2
538,Ankmy1
539,Ankmy2
540,Ankra2
541,Ankrd10
542,Ankrd11
543,Ankrd12
544,Ankrd13a
545,Ankrd13b
546,Ankrd13c
547,Ankrd13d
548,Ankrd16
549,Ankrd17
550,Ankrd22
551,Ankrd23
552,Ankrd24
553,Ankrd26
554,Ankrd27
555,Ankrd28
556,Ankrd29
557,Ankrd33b
558,Ankrd34a
559,Ankrd34b
560,Ankrd35
561,Ankrd36
562,Ankrd37
563,Ankrd39
564,Ankrd40
565,Ankrd42
566,Ankrd44
567,Ankrd46
568,Ankrd49
569,Ankrd50
570,Ankrd52
571,Ankrd53
572,Ankrd54
573,Ankrd55
574,Ankrd6
575,Ankrd61
576,Ankrd7
577,Ankrd9
578,Anks1
579,Anks1b
580,Anks3
581,Anks4b
582,Anks6
583,Ankzf1
584,Anln
585,Ano1
586,Ano10
587,Ano3
588,Ano4
589,Ano5
590,Ano6
591,Ano7
592,Ano8
593,Ano9
594,Anp32a
595,Anp32b
596,Anp32e
597,Anpep
598,Antxr1
599,Antxr2
600,Anxa1
601,Anxa10
602,Anxa11
603,Anxa13
604,Anxa2
605,Anxa3
606,Anxa4
607,Anxa5
608,Anxa6
609,Anxa7
610,Anxa9
611,Aoah
612,Aoc2
613,Aoc3
614,Aox1
615,Ap1ar
616,Ap1b1
617,Ap1g1
618,Ap1g2
619,Ap1m1
620,Ap1m2
621,Ap1s1
622,Ap1s2
623,Ap1s3
624,Ap2a1
625,Ap2a2
626,Ap2b1
627,Ap2m1
628,Ap2s1
629,Ap3b1
630,Ap3b2
631,Ap3d1
632,Ap3m1
633,Ap3m2
634,Ap3s1
635,Ap3s2
636,Ap4b1
637,Ap4e1
638,Ap4m1
639,Ap4s1
640,Ap5b1
641,Ap5m1
642,Ap5s1
643,Ap5z1
644,Apaf1
645,Apba1
646,Apba2
647,Apba3
648,Apbb1
649,Apbb1ip
650,Apbb2
651,Apc
652,Apc2
653,Apcdd1
654,Apeh
655,Apex1
656,Apex2
657,Aph1a
658,Aph1b
659,Api5
660,Apip
661,Apitd1
662,Aplf
663,Apln
664,Aplnr
665,Aplp1
666,Aplp2
667,Apmap
668,Apoa1
669,Apoa2
670,Apoa4
671,Apoa5
672,Apob
673,Apobec1
674,Apobec2
675,Apobec3
676,Apobr
677,Apoc1
678,Apoc2
679,Apoc3
680,Apoc4
681,Apod
682,Apoe
683,Apof
684,Apoh
685,Apol10b
686,Apol11a
687,Apol6
688,Apol9b
689,Apold1
690,Apom
691,Apoo
692,Apool
693,Apopt1
694,App
695,Appbp2
696,Appl1
697,Appl2
698,Aprt
699,Aptx
700,Aqp1
701,Aqp11
702,Aqp12
703,Aqp3
704,Aqp4
705,Aqp5
706,Aqp7
707,Aqp8
708,Aqp9
709,Aqr
710,Ar
711,Araf
712,Arap1
713,Arap2
714,Arap3
715,Arc
716,Arcn1
717,Areg
718,Arf1
719,Arf2
720,Arf3
721,Arf4
722,Arf5
723,Arf6
724,Arfgap1
725,Arfgap2
726,Arfgap3
727,Arfgef1
728,Arfgef2
729,Arfip1
730,Arfip2
731,Arfrp1
732,Arg1
733,Arg2
734,Arglu1
735,Arhgap1
736,Arhgap10
737,Arhgap11a
738,Arhgap12
739,Arhgap15
740,Arhgap17
741,Arhgap18
742,Arhgap19
743,Arhgap20
744,Arhgap21
745,Arhgap22
746,Arhgap23
747,Arhgap24
748,Arhgap25
749,Arhgap26
750,Arhgap27
751,Arhgap28
752,Arhgap29
753,Arhgap30
754,Arhgap31
755,Arhgap32
756,Arhgap33
757,Arhgap39
758,Arhgap4
759,Arhgap42
