Protein IDs,lab2,lab3,non2,non3
Q02248,351.1805556,346.7763924,351.5670084,346.3065508
A0A571BEW4,495.8333333,485.386287,486.96537,492.6349642
P10637,484.1666667,405.7689759,452.2900695,452.8810022
Q7TQI3,146.4548611,149.0964817,143.5287786,149.4307933
Q9DCT2,504.8958333,490.5632098,479.8620008,510.1254992
Q6ZWQ5,115.4965278,115.9276721,115.4501101,115.2955524
Q91VR5,172.1805556,152.636258,170.679937,159.8918853
Q61316,778.125,728.4748899,775.4888453,744.8128328
Q5DTL9,48.93055556,54.52250983,50.72348567,51.12129936
Q9JM51,19.93819444,17.16736172,19.11892189,18.62757078
Q9D8N0,454.3402778,432.5495956,471.3560554,427.2342592
Q6R891,649.8958333,649.4936325,663.7352019,638.177965
D3YVJ7,83.58333333,75.8009898,80.24092574,80.55312702
O70443,89.45138889,104.2408796,90.19921598,98.18261964
A0A3B2W820,132.875,137.8576921,136.6063869,133.2120227
D3Z636,134.1041667,109.0638247,128.5709832,121.3734378
Q8BGH2,136.2430556,122.205244,135.5521926,127.3455945
Q3KQM4,41.19791667,38.16376576,38.07632133,41.23114193
Q921F4,19.90486111,16.68949192,20.01566571,17.7189088
Q9JHU4,2332.638889,2279.449976,2320.991965,2300.775657
B1AQX6,999.6875,988.371899,998.1817331,991.4626052
Q8BNU0,34.18472222,35.9187733,31.82354662,36.81168551
Q8CGC7,93.43055556,99.86040647,91.8596851,98.43938916
D3YY36,120.8472222,137.9904337,121.05589,131.5807811
P63213,245.5763889,232.7071029,241.7181538,239.5931417
P54823,123.6875,129.2958583,124.7478322,126.4574741
Q6ZWR6,58.61111111,65.22590826,57.49204643,63.55196453
Q8R5L1,175.3125,133.6708005,171.4581405,150.977452
B1ATY9,86.27430556,68.45595408,83.30397095,76.73783416
Q11011,959.1319444,904.4681402,959.8597347,923.0108738
P21126,58.32291667,55.72935229,55.45604888,58.54344865
Q9JHK4,90.58333333,86.13271172,89.43911023,88.45256554
P48962,1076.701389,1027.088202,1092.063842,1034.328009
Q8CI78,73.40972222,81.81860941,75.61242464,77.33595608
E9PUM3,43.6875,47.1288022,45.93210477,44.39997978
Q6PIC6,6745.486111,6745.486111,6745.486111,6745.486111
Q8K0S0,505.3819444,493.605205,510.0400089,494.7797448
D3YYT0,30.846875,32.41660716,33.3166115,30.22328192
Q8VHI6,64.78472222,52.08780748,63.9846164,57.18710147
P28738,632.8472222,600.6557819,628.7612884,615.3103743
P04370,1439.166667,1487.812204,1163.685712,1655.468562
P47963,580.5208333,527.8857257,598.7642578,534.9264131
P48318,143.3055556,147.1219503,144.9313546,144.7968588
G5E8H1,682.2569444,674.6039201,674.0056784,683.8829381
G3UXX3,575.5208333,569.9039759,569.3101599,576.9761967
Q3TWV4,791.3194444,811.9361767,813.7655993,790.9105121
Z4YJL4,197.65625,190.5450493,197.5867758,193.4561917
D3Z560,58.92708333,64.03676468,58.90819583,62.33155415
Q9ESN6,182.9895833,176.4633768,186.6964511,176.6362783
Q4VAE3,76.75347222,83.98119146,73.89766226,83.47425782
Q9ESJ4,51.19791667,54.01200772,53.10334059,51.85535808
Q8VDP4,10.74444444,11.58281159,11.51107771,10.79851733
Q9JI95,461.8055556,438.5893389,464.7956189,446.2654112
P62137,62.40625,67.68715894,59.971439,67.639131
Q8BMS1,289.5625,308.4140674,286.2703046,304.9213471
Q61792,576.9444444,491.8795641,578.3590379,523.2660565
Q9Z2Q6,703.3680556,648.2215252,723.3220636,657.0580762
A2AEW9,464.6875,418.6338503,468.6866364,434.0310992
Q3TYE5,773.2291667,710.2229187,795.9393095,720.3442087
P11798,1947.256944,1832.27668,1929.175547,1892.602758
Q9WU01,147.7604167,171.6902098,151.7768309,161.1002124
P60879,1426.041667,1529.847047,1445.422528,1485.759019
Q9D0M1,31.22673611,35.92264492,31.89639009,33.94190862
P54775,246.7291667,223.321165,245.152203,233.7780675
Q6PHU5,95.48611111,89.21895414,97.52880717,90.51276322
P35282,21.50069444,20.38468646,20.71152443,21.40551482
P97315,358.0902778,341.9921637,352.5669094,353.0429744
G3UX26,436.9444444,423.6227223,434.8121616,431.8561104
Q8BWF0,566.2847222,475.8288911,562.9307009,513.0254842
Q9CQW1,83.03472222,92.39369095,84.94181786,88.21996258
P53994,547.4652778,577.7025454,557.7728405,562.8991858
Q91XU3,239.4375,220.3068243,225.3125379,237.8169009
A0A286YDL6,38.13888889,41.66759115,37.12799891,41.29759992
Q9R1V7,182.0902778,167.2599586,174.1909017,178.8354336
V9GXV7,14.83298611,15.17679066,15.68442026,14.57423748
Q8BYR5,63.97916667,59.88858938,66.44591122,60.10219062
O35129,333.5069444,355.6037095,357.6161834,333.8305733
A0A0N4SUV3,123.6944444,122.9906319,125.4853158,122.8627009
E9Q0G1,88.71180556,84.08627857,90.62451325,85.04206225
Q9QZX7,104.9444444,80.30867362,103.7499108,90.54297146
D3Z1H8,68.44444444,68.97585871,62.11149865,73.48139259
Q99JY9,729.1666667,653.0334087,723.0053528,689.1391611
Q8BPN8,774.7916667,772.224312,818.2900383,749.4648921
Q6IRU5,717.1527778,678.6414775,717.1688265,697.3859935
Q91ZR1,67.73958333,65.03785764,66.19706706,67.51527747
A0A2R8VK70,101.9756944,102.4599297,104.4466744,101.3816656
P99026,125.0555556,114.434329,121.9336312,121.1921886
D3Z568,251.0972222,228.5699894,242.5868461,244.1273892
Q61011,78.96527778,85.19798955,79.94683721,83.0120727
Q71M36,138.8125,162.2932101,146.4651395,150.0772483
P67778,521.3194444,508.6603158,525.4683459,514.8681831
Q80Y14,266.2708333,251.2356191,268.6883347,257.2860715
O35226,45.45833333,46.47781522,44.65802274,47.05527862
Q9Z0E0,258.5208333,250.5608493,251.5226131,260.3793888
P10126,732.5,651.1529025,767.9330322,662.9486708
Q8CC35,191.5451389,168.8252034,193.7183804,177.1800255
Q3V117,342.3159722,342.799675,353.9423388,338.0597182
Q9Z2D6,222.0625,256.0640952,236.0128362,236.8321142
Q9QZM0,13.57951389,10.8770687,12.07753748,12.96595409
G5E924,508.4027778,516.984321,521.4415952,510.3067482
Q9DC07,530.8333333,452.1068594,545.9188102,475.1444292
A0A0N4SVL9,58.33333333,52.32342384,57.65945067,55.48033941
Q5SW88,445.2430556,429.2753027,452.624878,434.4540137
Q920N7,68.61111111,66.75796766,69.11985467,67.76600534
Q9WV60,160.4965278,161.745651,158.3870362,164.3596748
A0A3B2WCD8,323.3715278,327.2357214,326.9495357,326.822276
Q60932,953.4027778,936.1048904,947.372283,956.4513267
Q9CQ62,13.36284722,14.51308261,13.82940025,13.94077199
O55091,144.9861111,160.8219906,140.9634217,159.5052206
A0A338P7E5,146.5173611,151.9448954,139.7780185,156.133988
P0DP28,329.0833333,350.8858514,321.3437558,351.9856881
Q6Q477,167.9479167,156.856335,162.5630934,166.2114361
P51863,566.8402778,501.818592,562.7949677,533.7482942
O35678,112.6319444,117.4486697,112.4956514,117.0989806
F6VVY4,44.85763889,43.72121446,48.35267964,42.29144897
Q8BSZ2,73.16319444,92.20010944,70.13785344,88.33173282
P42669,307.8159722,283.5858555,309.688801,294.5357755
E9Q2H8,127.5972222,99.67788677,123.3678783,113.8878513
F6R307,98.55208333,100.109297,98.62372141,100.7231274
Q9D2P8,44.10069444,46.89207965,23.6877004,60.09312818
E9PWP6,97.75347222,91.74104471,97.55595381,95.21919739
Q99PL5,130.6493056,152.9736429,133.2944975,145.0143577
Q9D0T1,103.1944444,95.80072559,102.7047654,100.0887556
P19783,456.6666667,458.5337656,447.8425459,469.8277899
P28740,457.8819444,439.4742829,464.4336638,447.6851955
A0A338P6E5,645.4861111,591.5851054,638.6698098,623.8290805
Q9CQH7,65.19791667,67.01238908,64.79449097,67.52736074
