,ivl,module,name
Chtf18,1992,11,MMT00060309
AW209059,2349,11,MMT00071357
Ris2,596,11,MMT00017895
Timeless,1211,11,MMT00037097
Tcf19,394,11,MMT00011856
Pole,1948,11,MMT00058765
Pcna,581,11,MMT00017411
Pcna,835,11,MMT00025627
Rbl1,396,11,MMT00011887
2610039C10Rik,638,11,MMT00019167
Mad2l1,1337,11,MMT00041229
Ect2,1578,11,MMT00047964
Kntc1,753,11,MMT00023318
4930579G24Rik,1079,11,MMT00033001
2810027O19Rik,289,11,MMT00008988
5730547N13Rik,2603,11,MMT00077765
H2afz,1857,11,MMT00055631
Trip13,1651,11,MMT00050107
Ltb4dh,2707,11,MMT00080541
BC024139,1049,11,MMT00031873
2600017H08Rik,1285,11,MMT00039457
Myl2,1451,11,MMT00044978
Acta1,2163,11,MMT00065834
Fabp3,2407,11,MMT00072840
2310069N01Rik,260,11,MMT00008113
LOC210321,304,11,MMT00009432
Sprrl9,202,11,MMT00006645
Actc1,322,11,MMT00009929
2310061G07Rik,1595,11,MMT00048505
Eef1a2,1335,11,MMT00041171
Pitx1,1415,11,MMT00043678
Asb5,1898,11,MMT00057142
1110014K05Rik,937,11,MMT00028832
Sprrl1,2679,11,MMT00079397
Sprrl2,110,11,MMT00003724
,2142,11,MMT00065021
Tbx1,707,11,MMT00021613
Tpm3,1507,11,MMT00046284
Ak1,1713,11,MMT00052088
Ldh2,2713,11,MMT00080680
1110055E19Rik,1142,11,MMT00034948
Pdlim3,892,11,MMT00027363
2700055K07Rik,2554,11,MMT00076705
Myh2,507,11,MMT00015110
Mb,1199,11,MMT00036635
Eno3,1024,11,MMT00031239
Ankrd23,2128,11,MMT00064507
2310001N14Rik,676,11,MMT00020582
Lor,2228,11,MMT00067838
Rpl3l,55,11,MMT00001949
Krt2-4,2058,11,MMT00062054
,1633,11,MMT00049578
Pgam2,1721,11,MMT00052285
Cacna1s,2136,11,MMT00064856
2300002A13Rik,1498,11,MMT00046184
Kbtbd10,1625,11,MMT00049364
4833423E24Rik,2055,11,MMT00062025
Serpinb11,2238,11,MMT00068087
Apobec2,1054,11,MMT00031896
,2434,11,MMT00073603
2300003P22Rik,628,11,MMT00018850
Krt1-2,2108,11,MMT00064022
Rpl29,350,11,MMT00010823
,2213,11,MMT00067322
,886,11,MMT00027189
Rpl29,2389,11,MMT00072366
Golph3,152,11,MMT00005030
,539,11,MMT00015935
Arf1,1127,11,MMT00034425
Galm,825,11,MMT00025317
Msh4,1966,11,MMT00059312
Glul,1446,11,MMT00044805
Glul,2590,11,MMT00077385
D10Jhu81e,1708,11,MMT00051826
D10Jhu81e,2710,11,MMT00080578
Ywhah,2057,11,MMT00062045
Tpm3,258,11,MMT00008045
E130201H02Rik,1032,11,MMT00031407
Laptm4b,448,11,MMT00013155
Laptm4b,850,11,MMT00025999
,524,11,MMT00015548
,1098,11,MMT00033404
,296,11,MMT00009278
,2564,11,MMT00076860
Eno1,2500,11,MMT00075327
,1056,11,MMT00031955
Eno1,2160,11,MMT00065790
Gstm1,1456,11,MMT00045090
,262,11,MMT00008174
Parva,1080,11,MMT00033024
,1616,11,MMT00049130
Gpi1,1535,11,MMT00046946
Gpi1,2403,11,MMT00072782
Rpl36a,2477,11,MMT00074658
,1588,11,MMT00048238
Nol5,962,11,MMT00029495
2610016F04Rik,2028,11,MMT00061258
Helb,1196,11,MMT00036565
,141,11,MMT00004703
Rpl31,2527,11,MMT00075937
Cox7a2,671,11,MMT00020454
4933434L15Rik,93,11,MMT00003214
Pafah1b1,2417,11,MMT00073193
Tmlhe,890,11,MMT00027275
Mut,2223,11,MMT00067739
Ube2v2,1260,11,MMT00038794
Mbnl2,2179,11,MMT00066220
Zfp395,1692,11,MMT00051382
Birc6,1608,11,MMT00048938
Pde4b,1766,11,MMT00053413
Pura,101,11,MMT00003498
Trio,1174,11,MMT00035990
AF424697,1477,11,MMT00045720
Pfn1,2416,11,MMT00073174
Erh,870,11,MMT00026683
Klf13,1603,11,MMT00048729
Pin4,2047,11,MMT00061821
Ndufa5,2014,11,MMT00060908
D10Bur2e,2398,11,MMT00072582
MGC59407,1148,11,MMT00035163
4930524B17Rik,156,11,MMT00005211
2400003B06Rik,1111,11,MMT00034063
,256,11,MMT00007996
,1659,11,MMT00050488
,1538,11,MMT00047022
,2187,11,MMT00066464
Nudt12,547,11,MMT00016022
BC032271,1042,11,MMT00031593
Eva,2517,11,MMT00075673
Galt,33,11,MMT00001110
Ucp2,813,11,MMT00025023
,244,11,MMT00007836
Orm1,1503,11,MMT00046218
Orm2,909,11,MMT00027861
C530028O21Rik,1599,11,MMT00048659
Saa1,832,11,MMT00025601
,2161,11,MMT00065821
2610507B11Rik,1486,11,MMT00045911
Saa3,1525,11,MMT00046768
Olfr514,2733,11,MMT00081249
Hrh4,97,11,MMT00003391
1200015F23Rik,2574,11,MMT00077144
Olfr535,536,11,MMT00015774
Gprc2a-rs1,922,11,MMT00028409
A930010I20Rik,956,11,MMT00029336
Spred2,1957,11,MMT00059108
1700129I15Rik,1277,11,MMT00039057
,2618,11,MMT00078090
,607,11,MMT00018265
,478,11,MMT00014191
,1733,11,MMT00052624
,563,11,MMT00016640
Olfr894,1110,11,MMT00034023
Phf13,375,11,MMT00011316
,391,11,MMT00011799
,1587,11,MMT00048233
,1102,11,MMT00033528
,1175,11,MMT00035998
,2035,11,MMT00061476
3110035E14Rik,2455,11,MMT00074179
,2104,11,MMT00063881
,78,11,MMT00002546
Olfr918,2381,11,MMT00072188
2510009E07Rik,896,11,MMT00027457
V1rc13,21,11,MMT00000701
Pcdha4,483,11,MMT00014287
Olfr380,620,11,MMT00018606
Nalp9c,2145,11,MMT00065134
,355,11,MMT00010898
AI194318,1240,11,MMT00038047
9230106F14Rik,1067,11,MMT00032546
,603,11,MMT00018202
1110030L07Rik,1061,11,MMT00032234
Ccr4,1805,11,MMT00054453
,543,11,MMT00015971
Hk1,1954,11,MMT00059076
