,ivl,module,name
Tat,2428,11,MMT00073496
Nfe2l2,1057,11,MMT00032021
1810008K03Rik,1969,11,MMT00059404
Slc37a4,1845,11,MMT00055415
Fbxo14,1960,11,MMT00059226
D4Bwg0951e,2700,11,MMT00080105
Tm4sf3,1949,11,MMT00058789
Scara3,1689,11,MMT00051303
Tesc,970,11,MMT00029763
Foxj1,1443,11,MMT00044677
6430401A05Rik,1276,11,MMT00039035
0610010O12Rik,2225,11,MMT00067776
Hal,521,11,MMT00015524
Clcn5,1178,11,MMT00036060
2810022L02Rik,978,11,MMT00030080
Golph2,1593,11,MMT00048462
1600029D21Rik,627,11,MMT00018843
Semcap2,1711,11,MMT00051955
Ddit4l,993,11,MMT00030413
2310047C17Rik,2329,11,MMT00070699
Jun,160,11,MMT00005285
Slpi,1582,11,MMT00048155
Defb1,1880,11,MMT00056614
Unc5b,57,11,MMT00002002
Osbpl3,2029,11,MMT00061273
Lgals1,1952,11,MMT00059054
9330129D05Rik,2025,11,MMT00061203
Pdk4,379,11,MMT00011436
Cyp4f14,2690,11,MMT00079786
Spp1,1586,11,MMT00048209
Cyp2d13,606,11,MMT00018239
9030622O22Rik,1641,11,MMT00049893
Avpr1a,1023,11,MMT00031229
Postn,1326,11,MMT00040888
Edn1,1795,11,MMT00054261
Pex11a,1453,11,MMT00044996
Crat,2632,11,MMT00078486
0610039N19Rik,395,11,MMT00011876
Lamb3,953,11,MMT00029192
,2319,11,MMT00070342
Gal3st1,246,11,MMT00007847
Slc25a10,2561,11,MMT00076818
Pparg,911,11,MMT00028002
Clstn3,784,11,MMT00024150
Drctnnb1a,2390,11,MMT00072411
Fthfd,1414,11,MMT00043677
Gnmt,1835,11,MMT00055087
Sds,2252,11,MMT00068518
Got1,2397,11,MMT00072555
Gdf10,1000,11,MMT00030541
1600015H20Rik,1683,11,MMT00051177
Ltbp1,65,11,MMT00002102
Dcn,1083,11,MMT00033105
Bgn,923,11,MMT00028503
Cbfa2t1h,1602,11,MMT00048720
Tnc,1043,11,MMT00031617
Timp1,133,11,MMT00004428
Cxcl5,959,11,MMT00029369
AU041783,1018,11,MMT00031029
Rgs5,1723,11,MMT00052337
Kcnj8,2646,11,MMT00078698
Nbea,444,11,MMT00013122
Ctla2a,662,11,MMT00020088
Bok,1631,11,MMT00049553
Pdlim2,2470,11,MMT00074523
D4st1,201,11,MMT00006545
,885,11,MMT00027170
2810004A10Rik,2493,11,MMT00075171
Ehd2,236,11,MMT00007709
Gfra1,1649,11,MMT00050086
Xbp1,693,11,MMT00021004
Krt1-23,1021,11,MMT00031086
Dnaic1,1916,11,MMT00058021
4933425F03Rik,1003,11,MMT00030620
,2158,11,MMT00065770
Nnmt,1769,11,MMT00053489
Mbl1,2474,11,MMT00074580
Stat3,1460,11,MMT00045252
Hspb8,2593,11,MMT00077517
Car3,951,11,MMT00029178
AI428936,2363,11,MMT00071772
Pde6h,2666,11,MMT00079144
Sgk2,2566,11,MMT00076939
Mt1,1077,11,MMT00032920
Fgl1,2181,11,MMT00066276
Slc3a1,901,11,MMT00027663
D10Ucla2,1188,11,MMT00036340
A530057A03Rik,128,11,MMT00004283
Lama1,1182,11,MMT00036178
Osbpl5,180,11,MMT00006077
Cfh,715,11,MMT00021743
Serpine1,27,11,MMT00000963
Gpr109b,2547,11,MMT00076519
9130017A15Rik,2021,11,MMT00061101
Dusp10,2405,11,MMT00072790
Tagln2,349,11,MMT00010818
2310067E08Rik,1155,11,MMT00035381
Ngfrap1,31,11,MMT00001077
9030408N13Rik,604,11,MMT00018234
Plekha4,853,11,MMT00026117
Gpx7,981,11,MMT00030150
Agt,2245,11,MMT00068357
Kcne3,1626,11,MMT00049383
Phlda3,1527,11,MMT00046836
Chsy1,2550,11,MMT00076583
Lrfn5,2734,11,MMT00081261
Neb,787,11,MMT00024268
2010002N04Rik,2553,11,MMT00076621
,263,11,MMT00008176
Mdfi,838,11,MMT00025664
Txk,1280,11,MMT00039182
Traf1,2299,11,MMT00069955
Slc6a8,2532,11,MMT00076056
Tgfbi,2538,11,MMT00076229
Il7r,405,11,MMT00012066
Gdf3,1982,11,MMT00060021
2510004L01Rik,1703,11,MMT00051671
Ckb,2491,11,MMT00075074
Rassf1,2592,11,MMT00077423
Mthfd2,982,11,MMT00030184
Adamts4,2101,11,MMT00063772
Rasgef1b,1225,11,MMT00037564
Oasl1,2287,11,MMT00069586
Tslpr,1863,11,MMT00055845
Ptpro,1229,11,MMT00037740
Ly108,41,11,MMT00001387
9530011P19Rik,1261,11,MMT00038795
Bmp8b,1058,11,MMT00032069
Sdcbp2,251,11,MMT00007963
Tinag,1161,11,MMT00035506
5730427C23Rik,1784,11,MMT00054020
Col5a3,25,11,MMT00000840
Tjp3,1217,11,MMT00037403
2310004K20Rik,2432,11,MMT00073538
Nrn1,668,11,MMT00020363
Prlr,2221,11,MMT00067692
Tjp2,2692,11,MMT00079874
4833409A17Rik,995,11,MMT00030448
,1340,11,MMT00041314
Ctps,117,11,MMT00003970
Cml1,2214,11,MMT00067333
Sept9,579,11,MMT00017203
,641,11,MMT00019191
Dp1,162,11,MMT00005418
BC025446,743,11,MMT00022932
Stk39,2200,11,MMT00067105
Chad,1009,11,MMT00030781
E330023O18,1333,11,MMT00041088
Sh3bp4,255,11,MMT00007995
1500004A08Rik,1542,11,MMT00047127
Sema5a,974,11,MMT00029984
Bicc1,1883,11,MMT00056716
Pdgfa,1995,11,MMT00060443
Zfp423,1479,11,MMT00045751
Large,1984,11,MMT00060094
Kifc3,541,11,MMT00015966
Krt1-18,935,11,MMT00028770
,1718,11,MMT00052210
Csf3r,542,11,MMT00015970
Saa4,893,11,MMT00027398
Ifitm2,1407,11,MMT00043307
Mmp10,2182,11,MMT00066301
Vtn,830,11,MMT00025527
Lcat,2030,11,MMT00061312
Slc16a10,1496,11,MMT00046167
Gulo,1712,11,MMT00051995
Klf15,1886,11,MMT00056821
Klf3,1600,11,MMT00048682
2310067G05Rik,859,11,MMT00026271
Fgfr4,2694,11,MMT00079885
Ass1,421,11,MMT00012502
Ass1,1970,11,MMT00059439
Sfrs5,588,11,MMT00017636
Sfrs5,1377,11,MMT00042488
Rps8,1027,11,MMT00031280
Ywhaz,2235,11,MMT00067969
Dsg2,1545,11,MMT00047198
Pank3,388,11,MMT00011559
Pitpnb,908,11,MMT00027858
Ncbp2,1810,11,MMT00054545
Clic4,1661,11,MMT00050551
Dkk3,2557,11,MMT00076735
Ysg2,2217,11,MMT00067495
BC042593,1384,11,MMT00042643
Tnfrsf21,1529,11,MMT00046867
5830404H04Rik,2401,11,MMT00072669
Mkln1,992,11,MMT00030412
1300019C06Rik,1420,11,MMT00043889
1300018L09Rik,910,11,MMT00027978
,2333,11,MMT00070955
Cd2ap,2625,11,MMT00078212
Rnf125,1549,11,MMT00047266
Rnf125,2005,11,MMT00060741
Gucy1a3,1993,11,MMT00060382
Gpc6,1716,11,MMT00052162
Cacna2d1,2061,11,MMT00062170
Cpeb1,440,11,MMT00013033
Lip1,2747,11,MMT00081718
,938,11,MMT00028844
4930485B16Rik,856,11,MMT00026215
1110025F24Rik,2782,11,MMT00082869
0610011L13Rik,819,11,MMT00025239
Fmo2,2492,11,MMT00075170
4921505C17Rik,203,11,MMT00006662
Cdkn1c,1472,11,MMT00045544
Wdr10,2023,11,MMT00061169
Spnb2,1884,11,MMT00056768
Zfhx1b,1575,11,MMT00047884
6430548M08Rik,2173,11,MMT00066012
4932703L02Rik,330,11,MMT00010174
,2408,11,MMT00072855
2610510D13Rik,1648,11,MMT00050076
9430025M21Rik,776,11,MMT00024043
,1400,11,MMT00043109
,2495,11,MMT00075201
,249,11,MMT00007878
2610529C04Rik,407,11,MMT00012141
2700017A04Rik,2212,11,MMT00067321
Mtf2,1869,11,MMT00056241
Dbt,2334,11,MMT00070974
Arpc2,1162,11,MMT00035527
Cpd,406,11,MMT00012128
BC025076,1103,11,MMT00033582
,138,11,MMT00004614
AA408556,2395,11,MMT00072543
Casp3,248,11,MMT00007875
Ttrap,2653,11,MMT00078837
Abcd3,126,11,MMT00004264
Papss1,1774,11,MMT00053710
2810439K08Rik,105,11,MMT00003575
Tfpi2,2072,11,MMT00062714
Lactb2,153,11,MMT00005139
Idh1,1647,11,MMT00050061
D530020C15Rik,1896,11,MMT00057115
1110020L19Rik,177,11,MMT00005900
1110020L19Rik,1612,11,MMT00049025
Rps6kb2,254,11,MMT00007992
4932407I05,1738,11,MMT00052856
Serpinb9e,2167,11,MMT00065858
Eml5,748,11,MMT00023079
Car9,2024,11,MMT00061183
4933428D01Rik,2263,11,MMT00068931
9130209A04Rik,1192,11,MMT00036477
Bsnd,306,11,MMT00009488
Tgfbr2,2259,11,MMT00068806
B230303A05,432,11,MMT00012889
9930020N01,1557,11,MMT00047445
4831417L10,883,11,MMT00027142
Olfr1018,1664,11,MMT00050612
4930444A19Rik,794,11,MMT00024414
,2081,11,MMT00063076
Tekt1,1893,11,MMT00057054
Gprc2a,1457,11,MMT00045174
Cnga1,77,11,MMT00002529
Aicda,2139,11,MMT00064954
4921537P18Rik,655,11,MMT00019803
5330410G16Rik,2683,11,MMT00079550
1700007N18Rik,0,11,MMT00000044
A630024B12Rik,554,11,MMT00016245
,312,11,MMT00009646
A430081C19Rik,2709,11,MMT00080563
Il22ra2,473,11,MMT00013936
,1256,11,MMT00038636
,672,11,MMT00020473
,793,11,MMT00024382
Trf3,2079,11,MMT00062881
Olfr616,1728,11,MMT00052545
Foxj2,2548,11,MMT00076566
A530017F20,684,11,MMT00020711
AMACO,2185,11,MMT00066435
Cul4a,1193,11,MMT00036488
Il1f6,1720,11,MMT00052270
Clca1,1011,11,MMT00030865
Clca2,1287,11,MMT00039465
Siat8d,958,11,MMT00029363
Arhgap15,2292,11,MMT00069696
3110050N22Rik,2279,11,MMT00069398
C130086A10,575,11,MMT00017044
Casp12,2559,11,MMT00076754
Serpinb6b,1882,11,MMT00056703
Qk,2114,11,MMT00064154
Sema3d,989,11,MMT00030349
Cav2,2195,11,MMT00066884
Sec14l4,1180,11,MMT00036133
Cyp2d22,767,11,MMT00023847
Ppargc1b,2350,11,MMT00071368
AA175286,79,11,MMT00002592
Slc25a22,2135,11,MMT00064768
Kctd15,2484,11,MMT00074808
Dnmt2,303,11,MMT00009398
Pbef1,42,11,MMT00001397
Aspa,1514,11,MMT00046474
BC029169,2016,11,MMT00061002
Ttr,2017,11,MMT00061012
Glrx1,374,11,MMT00011289
Rplp1,1536,11,MMT00046983
Mtac2d1,860,11,MMT00026280
Atp6v1e1,1367,11,MMT00042179
Gdap10,2399,11,MMT00072644
Tns,226,11,MMT00007321
A530050D06Rik,2583,11,MMT00077325
,2159,11,MMT00065780
LOC230872,2641,11,MMT00078625
Mkl1,472,11,MMT00013918
BC037034,1364,11,MMT00042103
Erbb3,710,11,MMT00021649
Spata13,1478,11,MMT00045746
Tbc1d10,1143,11,MMT00035002
A230106M15Rik,2631,11,MMT00078449
5330421F07Rik,2571,11,MMT00077103
Odf2,187,11,MMT00006257
2410025L10Rik,2127,11,MMT00064475
Dnaja1,900,11,MMT00027656
Dnaja1,1216,11,MMT00037385
Aldh1a7,1226,11,MMT00037571
D11Bwg0280e,415,11,MMT00012369
Klra5,2103,11,MMT00063833
AI451557,509,11,MMT00015196
Psmb10,2751,11,MMT00081967
Arid5a,747,11,MMT00023027
2610207I16Rik,887,11,MMT00027194
Ehhadh,2141,11,MMT00065001
Mme,1082,11,MMT00033085
,368,11,MMT00011231
8430416H19Rik,2468,11,MMT00074496
4930405M20Rik,1231,11,MMT00037796
4931406C07Rik,1655,11,MMT00050299
Chc1l,578,11,MMT00017157
6330409N04Rik,1911,11,MMT00057799
Cks1,2581,11,MMT00077279
A830093I24Rik,1234,11,MMT00037893
2900005J15Rik,1373,11,MMT00042327
Sfrs7,537,11,MMT00015827
Brodl,269,11,MMT00008447
Kdelr2,2522,11,MMT00075907
C030006K11Rik,107,11,MMT00003620
Fntb,1352,11,MMT00041646
D16Ertd502e,1564,11,MMT00047633
Agpat2,2150,11,MMT00065319
Copa,386,11,MMT00011514
2610208E05Rik,2052,11,MMT00061936
Tbl1x,2309,11,MMT00070173
5730453H04Rik,2077,11,MMT00062802
BC031407,572,11,MMT00016938
Centa2,266,11,MMT00008290
Mobkl2b,1607,11,MMT00048866
1110021L09Rik,1637,11,MMT00049749
A930006D20Rik,635,11,MMT00019091
Col12a1,756,11,MMT00023406
H2afx,1319,11,MMT00040627
1810013B01Rik,2191,11,MMT00066627
6330503K22Rik,1158,11,MMT00035474
Nkd1,1707,11,MMT00051795
Rnu17d,2739,11,MMT00081360
,228,11,MMT00007367
,1722,11,MMT00052319
Gpr155,505,11,MMT00015021
Hba-x,2420,11,MMT00073300
Trib1,317,11,MMT00009718
C230043N17Rik,346,11,MMT00010595
Ell2,455,11,MMT00013381
Cyp39a1,1961,11,MMT00059229
Otc,646,11,MMT00019286
Cldn12,2392,11,MMT00072445
Zfp131,480,11,MMT00014231
1600019O04Rik,2511,11,MMT00075604
AW111922,242,11,MMT00007811
2510038N07Rik,2086,11,MMT00063266
Crem,683,11,MMT00020710
Grcc3f,293,11,MMT00009113
Cbfa2t3h,1017,11,MMT00031006
Paox,1743,11,MMT00052924
Fads2,429,11,MMT00012675
Fads1,1537,11,MMT00046994
Fdps,2207,11,MMT00067195
Mug1,1022,11,MMT00031178
Mug2,1156,11,MMT00035408
,1101,11,MMT00033522
Bet1,921,11,MMT00028408
Ung,2275,11,MMT00069238
Scarb1,2053,11,MMT00061944
Gbe1,2773,11,MMT00082677
Stard4,781,11,MMT00024116
Ngfa,994,11,MMT00030442
Eaf2,1991,11,MMT00060307
Pfkfb1,2637,11,MMT00078546
Acsl4,2379,11,MMT00072142
Pstpip2,272,11,MMT00008523
Rohn,1485,11,MMT00045905
,1816,11,MMT00054728
Ptp4a1,2569,11,MMT00077065
H2-T10,145,11,MMT00004855
,2462,11,MMT00074377
4930544G21Rik,53,11,MMT00001791
Cyp2b9,2155,11,MMT00065736
Cts7,2642,11,MMT00078657
Scpep1,2524,11,MMT00075927
BC004004,1167,11,MMT00035731
Gstm6,2000,11,MMT00060569
Tpi,161,11,MMT00005318
Igfbp3,1323,11,MMT00040819
Snrk,1697,11,MMT00051549
Il1rap,839,11,MMT00025729
4933425I22Rik,2505,11,MMT00075514
Slc25a15,818,11,MMT00025215
Cyp2d10,1074,11,MMT00032812
Aqp9,1181,11,MMT00036166
Mpp1,1378,11,MMT00042535
S100a11,1753,11,MMT00053164
4931427F14Rik,1429,11,MMT00044120
Cgn,2606,11,MMT00077903
Lnk,884,11,MMT00027151
2310076K21Rik,1573,11,MMT00047853
Fus,2109,11,MMT00064033
,1100,11,MMT00033504
BC011209,1912,11,MMT00057809
Hdac10,270,11,MMT00008457
,2375,11,MMT00072013
Gck,550,11,MMT00016157
Ethe1,1416,11,MMT00043689
AA408451,275,11,MMT00008578
Ralgps1,2197,11,MMT00067054
Luc7l2,1154,11,MMT00035373
Rnu22,2409,11,MMT00072901
Cited2,412,11,MMT00012288
Acsl1,924,11,MMT00028506
,111,11,MMT00003764
Flt4,2063,11,MMT00062241
Tm4sf11,2239,11,MMT00068147
0610011I04Rik,284,11,MMT00008892
Hipk3,518,11,MMT00015391
Prkca,789,11,MMT00024287
Gsh1,894,11,MMT00027432
D11Wsu68e,2230,11,MMT00067853
Vps52,2436,11,MMT00073698
,2607,11,MMT00077908
Ap3m1,944,11,MMT00029120
Ap3m1,2698,11,MMT00080093
Cyp3a41,2190,11,MMT00066626
Icosl,973,11,MMT00029795
Padi2,1799,11,MMT00054328
AI604832,2304,11,MMT00070074
Enpep,1856,11,MMT00055612
ank,2093,11,MMT00063384
4930520C08Rik,1787,11,MMT00054045
2010321J07Rik,1686,11,MMT00051291
C730048C13Rik,2348,11,MMT00071340
Ugp2,1245,11,MMT00038123
Frap1,772,11,MMT00023884
Zfp294,1800,11,MMT00054378
,134,11,MMT00004455
AW555464,1757,11,MMT00053222
Cnn3,410,11,MMT00012250
Zik1,2691,11,MMT00079850
Flnb,123,11,MMT00004126
Stat5a,608,11,MMT00018269
Rps14,731,11,MMT00022462
Tbc1d13,1289,11,MMT00039534
Rgpr,222,11,MMT00007190
4930504E06Rik,326,11,MMT00010000
Tgif,158,11,MMT00005229
Hexb,639,11,MMT00019174
Tank,61,11,MMT00002046
Pon2,2300,11,MMT00069969
Resp18,1247,11,MMT00038212
C1galt1,651,11,MMT00019546
Ppp1r2,1338,11,MMT00041235
Sms,2509,11,MMT00075591
,1466,11,MMT00045463
,2112,11,MMT00064136
2610304F09Rik,1075,11,MMT00032821
Nup210,2400,11,MMT00072646
Ccng1,733,11,MMT00022559
Klhl13,309,11,MMT00009572
1700007D05Rik,2391,11,MMT00072421
Bivm,1146,11,MMT00035121
Utx,1828,11,MMT00054936
Kif2a,114,11,MMT00003908
4921532K09Rik,532,11,MMT00015632
Pms1,823,11,MMT00025310
Stch,1977,11,MMT00059829
Pole4,1748,11,MMT00053106
Sdro,574,11,MMT00016980
Mkks,2446,11,MMT00074058
Tdo2,2496,11,MMT00075265
Jak2,174,11,MMT00005757
Ddx41,1149,11,MMT00035224
Ubqln1,1325,11,MMT00040841
C330018D20Rik,50,11,MMT00001675
Btbd5,2354,11,MMT00071524
Gyk,1468,11,MMT00045480
Nt5e,644,11,MMT00019212
4930451A13Rik,1481,11,MMT00045781
2310036D22Rik,2282,11,MMT00069458
Nfkbil1,1567,11,MMT00047734
BC004056,2078,11,MMT00062845
AF397014,741,11,MMT00022891
1700003H21Rik,2184,11,MMT00066426
1110061N23Rik,1010,11,MMT00030812
Hpxn,1524,11,MMT00046735
Trim34,960,11,MMT00029409
Trim12,1915,11,MMT00058011
H2afz,750,11,MMT00023166
C330027C09Rik,24,11,MMT00000793
4632434I11Rik,1668,11,MMT00050815
Pola1,1841,11,MMT00055354
,500,11,MMT00014892
Olig2,1758,11,MMT00053241
Hmgb2,2367,11,MMT00071845
D630024B06Rik,91,11,MMT00003188
2810406C15Rik,314,11,MMT00009670
5830482G23Rik,1540,11,MMT00047041
5730497N03Rik,217,11,MMT00006957
,1519,11,MMT00046594
Glg1,1759,11,MMT00053249
Ppp1cb,1765,11,MMT00053389
SST3,1559,11,MMT00047455
Enpp2,843,11,MMT00025851
,2464,11,MMT00074398
D930050H05Rik,1308,11,MMT00040228
2610005L07Rik,2712,11,MMT00080630
Fgd6,2783,11,MMT00082877
Prkaa2,147,11,MMT00004888
BC023892,1919,11,MMT00058126
C530009C10Rik,674,11,MMT00020566
Mrg1,1133,11,MMT00034749
C430010P07Rik,1776,11,MMT00053732
2810043G22Rik,11,11,MMT00000283
1810015C04Rik,178,11,MMT00005990
Clic4,1342,11,MMT00041350
,749,11,MMT00023085
Ggh,2100,11,MMT00063686
5730455A04Rik,2757,11,MMT00082126
,2008,11,MMT00060830
Cul2,1361,11,MMT00041965
B230380D07Rik,1812,11,MMT00054611
,1422,11,MMT00043905
Kua,2331,11,MMT00070773
Mbd1,2759,11,MMT00082181
1810030N24Rik,342,11,MMT00010509
1700003H21Rik,2186,11,MMT00066463
Nme2,552,11,MMT00016198
Cox7c,2074,11,MMT00062763
Cdc42ep1,2706,11,MMT00080534
Pace4,2562,11,MMT00076847
Mgll,2615,11,MMT00078055
Lnx2,811,11,MMT00024978
Sbk,657,11,MMT00019932
,1431,11,MMT00044203
B2m,711,11,MMT00021652
Bcl11b,1678,11,MMT00051013
Zfpn1a3,2718,11,MMT00080768
Hist1h1b,1131,11,MMT00034683
Sim1,1362,11,MMT00042016
Nfatc2ip,2775,11,MMT00082753
4930511I11Rik,341,11,MMT00010506
Ankrd1,1185,11,MMT00036250
Rbm9,1271,11,MMT00038982
Csnk1e,1719,11,MMT00052262
Immt,1389,11,MMT00042847
,195,11,MMT00006429
AW121567,1688,11,MMT00051300
,2286,11,MMT00069507
V1rc1,1108,11,MMT00033930
Glp2r,2196,11,MMT00066928
D2Ertd145e,786,11,MMT00024229
2810446P07Rik,1244,11,MMT00038084
Cdh22,1365,11,MMT00042151
6330407D12Rik,216,11,MMT00006888
,637,11,MMT00019132
4732435N03Rik,1299,11,MMT00039957
Zfp239,2366,11,MMT00071832
Nova1,2685,11,MMT00079611
AI788959,1303,11,MMT00040075
Olfm1,1421,11,MMT00043897
Ets1,1591,11,MMT00048288
Zfp292,1455,11,MMT00045019
Pdgfc,686,11,MMT00020764
Gpr49,745,11,MMT00022978
BC026585,1877,11,MMT00056571
,305,11,MMT00009436
Tdgf1,1592,11,MMT00048305
Dmp1,1980,11,MMT00059941
Pla2g6,964,11,MMT00029631
Abcc3,2605,11,MMT00077899
Nical,1413,11,MMT00043563
A430065P05Rik,340,11,MMT00010490
,389,11,MMT00011590
Adnp,2060,11,MMT00062128
F5,765,11,MMT00023728
Pigr,1387,11,MMT00042811
BC010552,1151,11,MMT00035294
Igfals,1322,11,MMT00040765
9130422G05Rik,977,11,MMT00030014
Lin7a,1395,11,MMT00042966
Tnfrsf12a,384,11,MMT00011486
Gpt2,1314,11,MMT00040489
Magee1,17,11,MMT00000517
Pdcd4,2332,11,MMT00070800
4933434G05Rik,602,11,MMT00018170
Ngef,221,11,MMT00007117
Cyp4f15,327,11,MMT00010083
Gys2,643,11,MMT00019204
2410014A08Rik,1917,11,MMT00058036
Fhit,370,11,MMT00011257
2410030K01Rik,1546,11,MMT00047216
Alas2,2665,11,MMT00079130
AW547365,408,11,MMT00012202
Raet1e,797,11,MMT00024538
Tkt,2202,11,MMT00067143
Nudt1,2626,11,MMT00078229
Zfp533,1350,11,MMT00041568
C630011I23,2001,11,MMT00060603
Sec8l1,2220,11,MMT00067534
BC014685,1020,11,MMT00031063
Adam11,2675,11,MMT00079348
2610528M18Rik,1059,11,MMT00032143
1700012B18Rik,941,11,MMT00028949
2310014L17Rik,2531,11,MMT00076051
2610029K21Rik,8,11,MMT00000212
Etnk1,831,11,MMT00025574
Cox7a1,2117,11,MMT00064288
2010209O12Rik,670,11,MMT00020421
Banp,1570,11,MMT00047786
AI842396,2224,11,MMT00067765
2610204M08Rik,2586,11,MMT00077367
Farp1,2726,11,MMT00081115
Baiap2,313,11,MMT00009668
Foxo1,2088,11,MMT00063309
,210,11,MMT00006763
Guca1b,2551,11,MMT00076595
Pfn2,1583,11,MMT00048191
2510049J12Rik,2048,11,MMT00061835
3732412D22Rik,2518,11,MMT00075754
Gnai1,2722,11,MMT00080984
9430059P22Rik,2038,11,MMT00061586
Tagln,213,11,MMT00006822
Art3,1252,11,MMT00038471
Itga8,757,11,MMT00023451
Jam3,2051,11,MMT00061892
Abcc9,2422,11,MMT00073344
Slco2b1,2249,11,MMT00068489
Phca,2288,11,MMT00069588
Hamp,631,11,MMT00018925
4933432P15Rik,1249,11,MMT00038265
Osmr,1614,11,MMT00049096
Trp53inp1,2180,11,MMT00066232
Acadm,2415,11,MMT00073154
Gca,2633,11,MMT00078523
4930503L19Rik,654,11,MMT00019699
0610012D14Rik,815,11,MMT00025062
Lrp11,2481,11,MMT00074754
Abi2,779,11,MMT00024067
9630054F20Rik,2013,11,MMT00060897
Dip2,2454,11,MMT00074170
Kitl,265,11,MMT00008266
Rab27b,1531,11,MMT00046895
Agxt,2095,11,MMT00063470
Slc38a4,14,11,MMT00000401
Tmeff1,364,11,MMT00011091
Dnclc1,1209,11,MMT00036968
Lrrc25,730,11,MMT00022453
Stat1,2465,11,MMT00074411
Ccr5,171,11,MMT00005653
Skil,2323,11,MMT00070510
